time,V(vin),V(vout)
0.00E+00,0.00E+00,1.81E-05
1.00E-14,1.00E-04,1.81E-05
2.00E-14,2.00E-04,1.81E-05
1.00E-12,1.00E-02,1.81E-05
1.01E-12,1.00E-02,1.81E-05
1.04E-12,1.00E-02,1.81E-05
4.94E-10,1.00E-02,2.70E-05
9.86E-10,1.00E-02,3.58E-05
1.48E-09,1.00E-02,4.46E-05
1.97E-09,1.00E-02,5.33E-05
2.46E-09,1.00E-02,6.19E-05
2.96E-09,1.00E-02,7.04E-05
3.45E-09,1.00E-02,7.89E-05
6.90E-09,1.00E-02,1.38E-04
1.22E-08,1.00E-02,2.27E-04
1.83E-08,1.00E-02,3.33E-04
2.54E-08,1.00E-02,4.62E-04
3.49E-08,1.00E-02,6.52E-04
4.71E-08,1.00E-02,9.26E-04
6.07E-08,1.00E-02,1.28E-03
7.67E-08,1.00E-02,1.74E-03
9.54E-08,1.00E-02,2.34E-03
1.18E-07,1.00E-02,3.12E-03
1.46E-07,1.00E-02,4.09E-03
1.80E-07,1.00E-02,5.22E-03
2.20E-07,1.00E-02,6.42E-03
2.76E-07,1.00E-02,7.72E-03
3.28E-07,1.00E-02,8.52E-03
3.95E-07,1.00E-02,9.00E-03
4.63E-07,1.00E-02,9.05E-03
5.30E-07,1.00E-02,8.82E-03
6.01E-07,1.00E-02,8.42E-03
6.83E-07,1.00E-02,7.96E-03
7.89E-07,1.00E-02,7.46E-03
9.10E-07,1.00E-02,7.05E-03
1.05E-06,1.00E-02,6.69E-03
1.21E-06,1.00E-02,6.34E-03
1.40E-06,1.00E-02,5.91E-03
1.71E-06,1.00E-02,5.20E-03
2.01E-06,1.00E-02,4.53E-03
2.56E-06,1.00E-02,3.38E-03
3.08E-06,1.00E-02,2.41E-03
4.05E-06,1.00E-02,8.25E-04
5.03E-06,1.00E-02,-4.93E-04
6.01E-06,1.00E-02,-1.52E-03
6.98E-06,1.00E-02,-2.28E-03
7.96E-06,1.00E-02,-2.79E-03
8.93E-06,1.00E-02,-3.10E-03
9.91E-06,1.00E-02,-3.22E-03
1.09E-05,1.00E-02,-3.18E-03
1.19E-05,1.00E-02,-3.02E-03
1.28E-05,1.00E-02,-2.76E-03
1.38E-05,1.00E-02,-2.43E-03
1.48E-05,1.00E-02,-2.05E-03
1.58E-05,1.00E-02,-1.63E-03
1.67E-05,1.00E-02,-1.20E-03
1.77E-05,1.00E-02,-7.64E-04
1.87E-05,1.00E-02,-3.44E-04
1.97E-05,1.00E-02,5.40E-05
2.07E-05,1.00E-02,4.22E-04
2.16E-05,1.00E-02,7.53E-04
2.26E-05,1.00E-02,1.04E-03
2.36E-05,1.00E-02,1.29E-03
2.46E-05,1.00E-02,1.49E-03
2.55E-05,1.00E-02,1.65E-03
2.65E-05,1.00E-02,1.76E-03
2.75E-05,1.00E-02,1.83E-03
2.85E-05,1.00E-02,1.86E-03
2.94E-05,1.00E-02,1.85E-03
3.04E-05,1.00E-02,1.81E-03
3.14E-05,1.00E-02,1.73E-03
3.24E-05,1.00E-02,1.63E-03
3.33E-05,1.00E-02,1.50E-03
3.43E-05,1.00E-02,1.35E-03
3.53E-05,1.00E-02,1.19E-03
3.63E-05,1.00E-02,1.01E-03
3.73E-05,1.00E-02,8.26E-04
3.82E-05,1.00E-02,6.35E-04
3.92E-05,1.00E-02,4.42E-04
4.02E-05,1.00E-02,2.51E-04
4.12E-05,1.00E-02,6.54E-05
4.21E-05,1.00E-02,-1.13E-04
4.31E-05,1.00E-02,-2.82E-04
4.41E-05,1.00E-02,-4.38E-04
4.51E-05,1.00E-02,-5.80E-04
4.60E-05,1.00E-02,-7.06E-04
4.70E-05,1.00E-02,-8.15E-04
4.80E-05,1.00E-02,-9.05E-04
4.90E-05,1.00E-02,-9.77E-04
5.00E-05,1.00E-02,-1.03E-03
5.09E-05,1.00E-02,-1.06E-03
5.19E-05,1.00E-02,-1.08E-03
5.29E-05,1.00E-02,-1.07E-03
5.39E-05,1.00E-02,-1.05E-03
5.48E-05,1.00E-02,-1.01E-03
5.58E-05,1.00E-02,-9.58E-04
5.68E-05,1.00E-02,-8.90E-04
5.78E-05,1.00E-02,-8.09E-04
5.87E-05,1.00E-02,-7.17E-04
5.97E-05,1.00E-02,-6.16E-04
6.07E-05,1.00E-02,-5.08E-04
6.17E-05,1.00E-02,-3.94E-04
6.26E-05,1.00E-02,-2.77E-04
6.36E-05,1.00E-02,-1.59E-04
6.46E-05,1.00E-02,-4.05E-05
6.56E-05,1.00E-02,7.54E-05
6.66E-05,1.00E-02,1.87E-04
6.75E-05,1.00E-02,2.94E-04
6.85E-05,1.00E-02,3.94E-04
6.95E-05,1.00E-02,4.85E-04
7.05E-05,1.00E-02,5.68E-04
7.14E-05,1.00E-02,6.40E-04
7.24E-05,1.00E-02,7.01E-04
7.34E-05,1.00E-02,7.50E-04
7.44E-05,1.00E-02,7.88E-04
7.53E-05,1.00E-02,8.13E-04
7.63E-05,1.00E-02,8.26E-04
7.73E-05,1.00E-02,8.28E-04
7.83E-05,1.00E-02,8.18E-04
7.92E-05,1.00E-02,7.97E-04
8.02E-05,1.00E-02,7.66E-04
8.12E-05,1.00E-02,7.25E-04
8.22E-05,1.00E-02,6.75E-04
8.32E-05,1.00E-02,6.19E-04
8.41E-05,1.00E-02,5.56E-04
8.51E-05,1.00E-02,4.87E-04
8.61E-05,1.00E-02,4.15E-04
8.71E-05,1.00E-02,3.40E-04
8.80E-05,1.00E-02,2.64E-04
8.90E-05,1.00E-02,1.87E-04
9.00E-05,1.00E-02,1.11E-04
9.10E-05,1.00E-02,3.73E-05
9.19E-05,1.00E-02,-3.34E-05
9.29E-05,1.00E-02,-1.00E-04
9.39E-05,1.00E-02,-1.62E-04
9.49E-05,1.00E-02,-2.18E-04
9.58E-05,1.00E-02,-2.67E-04
9.68E-05,1.00E-02,-3.10E-04
9.78E-05,1.00E-02,-3.45E-04
9.88E-05,1.00E-02,-3.72E-04
9.98E-05,1.00E-02,-3.92E-04
1.01E-04,1.00E-02,-4.04E-04
1.02E-04,1.00E-02,-4.08E-04
1.03E-04,1.00E-02,-4.04E-04
1.04E-04,1.00E-02,-3.93E-04
1.06E-04,1.00E-02,-3.51E-04
1.07E-04,1.00E-02,-3.22E-04
1.08E-04,1.00E-02,-2.87E-04
1.09E-04,1.00E-02,-2.47E-04
1.10E-04,1.00E-02,-2.04E-04
1.10E-04,1.00E-02,-1.58E-04
1.11E-04,1.00E-02,-1.10E-04
1.12E-04,1.00E-02,-6.03E-05
1.13E-04,1.00E-02,-1.03E-05
1.14E-04,1.00E-02,3.93E-05
1.15E-04,1.00E-02,8.79E-05
1.16E-04,1.00E-02,1.35E-04
1.17E-04,1.00E-02,1.79E-04
1.18E-04,1.00E-02,2.21E-04
1.19E-04,1.00E-02,2.59E-04
1.20E-04,1.00E-02,2.92E-04
1.21E-04,1.00E-02,3.22E-04
1.22E-04,1.00E-02,3.47E-04
1.23E-04,1.00E-02,3.67E-04
1.24E-04,1.00E-02,3.82E-04
1.25E-04,1.00E-02,3.91E-04
1.26E-04,1.00E-02,3.96E-04
1.28E-04,1.00E-02,3.90E-04
1.30E-04,1.00E-02,3.66E-04
1.32E-04,1.00E-02,3.27E-04
1.34E-04,1.00E-02,2.75E-04
1.35E-04,1.00E-02,2.46E-04
1.36E-04,1.00E-02,2.15E-04
1.37E-04,1.00E-02,1.83E-04
1.38E-04,1.00E-02,1.51E-04
1.39E-04,1.00E-02,1.18E-04
1.40E-04,1.00E-02,8.64E-05
1.41E-04,1.00E-02,5.54E-05
1.42E-04,1.00E-02,2.59E-05
1.43E-04,1.00E-02,-1.93E-06
1.44E-04,1.00E-02,-2.75E-05
1.45E-04,1.00E-02,-5.07E-05
1.46E-04,1.00E-02,-7.10E-05
1.47E-04,1.00E-02,-8.84E-05
1.48E-04,1.00E-02,-1.03E-04
1.49E-04,1.00E-02,-1.14E-04
1.51E-04,1.00E-02,-1.26E-04
1.52E-04,1.00E-02,-1.25E-04
1.54E-04,1.00E-02,-1.11E-04
1.56E-04,1.00E-02,-8.74E-05
1.58E-04,1.00E-02,-5.52E-05
1.60E-04,1.00E-02,-1.69E-05
1.62E-04,1.00E-02,2.46E-05
1.63E-04,1.00E-02,4.57E-05
1.64E-04,1.00E-02,6.66E-05
1.65E-04,1.00E-02,8.71E-05
1.66E-04,1.00E-02,1.07E-04
1.67E-04,1.00E-02,1.25E-04
1.68E-04,1.00E-02,1.43E-04
1.69E-04,1.00E-02,1.58E-04
1.70E-04,1.00E-02,1.72E-04
1.72E-04,1.00E-02,1.94E-04
1.74E-04,1.00E-02,2.08E-04
1.76E-04,1.00E-02,2.13E-04
1.79E-04,1.00E-02,2.06E-04
1.82E-04,1.00E-02,1.82E-04
1.85E-04,1.00E-02,1.47E-04
1.87E-04,1.00E-02,1.21E-04
1.89E-04,1.00E-02,9.32E-05
1.91E-04,1.00E-02,6.67E-05
1.93E-04,1.00E-02,4.27E-05
1.94E-04,1.00E-02,2.25E-05
1.96E-04,1.00E-02,7.08E-06
1.98E-04,1.00E-02,-3.03E-06
2.01E-04,1.00E-02,-7.71E-06
2.02E-04,1.00E-02,-5.86E-06
2.04E-04,1.00E-02,-2.74E-06
2.05E-04,1.00E-02,1.65E-06
2.06E-04,1.00E-02,7.32E-06
2.07E-04,1.00E-02,1.43E-05
2.08E-04,1.00E-02,2.25E-05
2.09E-04,1.00E-02,3.20E-05
2.12E-04,1.00E-02,5.80E-05
2.14E-04,1.00E-02,7.58E-05
2.16E-04,1.00E-02,9.26E-05
2.18E-04,1.00E-02,1.08E-04
2.20E-04,1.00E-02,1.20E-04
2.23E-04,1.00E-02,1.32E-04
2.26E-04,1.00E-02,1.36E-04
2.27E-04,1.00E-02,1.35E-04
2.28E-04,1.00E-02,1.33E-04
2.29E-04,1.00E-02,1.30E-04
2.31E-04,1.00E-02,1.26E-04
2.32E-04,1.00E-02,1.21E-04
2.33E-04,1.00E-02,1.14E-04
2.35E-04,1.00E-02,1.07E-04
2.37E-04,1.00E-02,8.99E-05
2.40E-04,1.00E-02,7.30E-05
2.43E-04,1.00E-02,5.86E-05
2.46E-04,1.00E-02,4.83E-05
2.49E-04,1.00E-02,4.31E-05
2.51E-04,1.00E-02,4.29E-05
2.52E-04,1.00E-02,4.38E-05
2.54E-04,1.00E-02,4.57E-05
2.55E-04,1.00E-02,4.86E-05
2.57E-04,1.00E-02,5.26E-05
2.58E-04,1.00E-02,5.76E-05
2.60E-04,1.00E-02,6.36E-05
2.62E-04,1.00E-02,7.34E-05
2.64E-04,1.00E-02,8.17E-05
2.67E-04,1.00E-02,8.88E-05
2.69E-04,1.00E-02,9.44E-05
2.71E-04,1.00E-02,9.88E-05
2.73E-04,1.00E-02,1.02E-04
2.76E-04,1.00E-02,1.03E-04
2.77E-04,1.00E-02,1.02E-04
2.79E-04,1.00E-02,1.00E-04
2.81E-04,1.00E-02,9.76E-05
2.83E-04,1.00E-02,9.44E-05
2.85E-04,1.00E-02,9.06E-05
2.86E-04,1.00E-02,8.61E-05
2.88E-04,1.00E-02,8.09E-05
2.90E-04,1.00E-02,7.53E-05
2.93E-04,1.00E-02,7.07E-05
2.95E-04,1.00E-02,6.74E-05
2.97E-04,1.00E-02,6.52E-05
2.99E-04,1.00E-02,6.41E-05
3.02E-04,1.00E-02,6.42E-05
3.04E-04,1.00E-02,6.55E-05
3.07E-04,1.00E-02,7.12E-05
3.11E-04,1.00E-02,7.62E-05
3.14E-04,1.00E-02,8.03E-05
3.17E-04,1.00E-02,8.37E-05
3.21E-04,1.00E-02,8.63E-05
3.24E-04,1.00E-02,8.81E-05
3.27E-04,1.00E-02,8.92E-05
3.31E-04,1.00E-02,8.49E-05
3.35E-04,1.00E-02,8.13E-05
3.39E-04,1.00E-02,7.84E-05
3.43E-04,1.00E-02,7.63E-05
3.47E-04,1.00E-02,7.48E-05
3.51E-04,1.00E-02,7.41E-05
3.55E-04,1.00E-02,7.40E-05
3.59E-04,1.00E-02,7.71E-05
3.62E-04,1.00E-02,7.96E-05
3.66E-04,1.00E-02,8.15E-05
3.70E-04,1.00E-02,8.26E-05
3.74E-04,1.00E-02,8.31E-05
3.78E-04,1.00E-02,8.29E-05
3.82E-04,1.00E-02,8.21E-05
3.86E-04,1.00E-02,8.00E-05
3.90E-04,1.00E-02,7.84E-05
3.94E-04,1.00E-02,7.74E-05
3.98E-04,1.00E-02,7.69E-05
4.02E-04,1.00E-02,7.69E-05
4.06E-04,1.00E-02,7.75E-05
4.10E-04,1.00E-02,7.87E-05
4.15E-04,1.00E-02,7.99E-05
4.20E-04,1.00E-02,8.06E-05
4.24E-04,1.00E-02,8.10E-05
4.29E-04,1.00E-02,8.10E-05
4.33E-04,1.00E-02,8.06E-05
4.38E-04,1.00E-02,7.98E-05
4.43E-04,1.00E-02,7.87E-05
4.51E-04,1.00E-02,7.91E-05
4.59E-04,1.00E-02,7.95E-05
4.67E-04,1.00E-02,7.96E-05
4.75E-04,1.00E-02,7.97E-05
4.83E-04,1.00E-02,7.96E-05
4.91E-04,1.00E-02,7.93E-05
4.99E-04,1.00E-02,7.89E-05
9.48E-04,1.00E-02,7.94E-05
9.99E-04,1.00E-02,7.94E-05
1.00E-03,-1.#IND00e+000,-1.#IND00e+000
